id,latitude,longitude,name,number,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count
97,40.4262945,-3.6865463,Claudio Coello,92,Calle Claudio Coello nº 45,1,0,24,14,9,0
98,40.4257046,-3.6893698,Plaza de Colón,93,Calle Goya nº 1,1,0,24,7,15,0
99,40.4232153,-3.690756,Biblioteca Nacional,94,Paseo de Recoletos nº 20,1,0,21,5,15,0
100,40.4226584,-3.6870548,Villanueva,95,Calle Claudio Coello nº 109,1,0,24,4,19,0
101,40.4220640,-3.6821793,Castelló,96,Calle Alcalá nº 111,1,0,27,12,15,0
102,40.4222969,-3.6805189,Alcalá,97,Avenida de Menéndez Pelayo nº 3,1,0,27,6,20,0
103,40.4239447,-3.6758383,Plaza de Felipe II,98,Plaza de Felipe II,1,0,24,13,10,0
104,40.4261851,-3.6738714,Alcántara,99,Calle Alcántara nº 2,1,0,24,12,12,0
105,40.42478,-3.67384,Palacio de Deportes,100,Calle Goya nº 99,1,0,24,15,8,0
106,40.4231526,-3.6691524,Jorge Juan,101,Calle Jorge Juan nº 131,1,0,24,11,12,0
107,40.4211802,-3.6840229,Velázquez,102,Calle Alcalá nº 95,1,0,24,6,18,0
108,40.43037,-3.68653,Ortega y Gasset,103,Calle José Ortega y Gasset nº 4,1,0,24,22,2,0
109,40.42677,-3.68958,Castellana,104,Paseo de la Castellana nº 4,1,0,21,5,16,0
110,40.42699,-3.68745,Serrano,105,Calle Serrano nº 54,1,0,24,7,17,0
111,40.4251002,-3.6877227,Colón A,106a,Calle Serrano nº 34,1,0,18,3,14,0
112,40.4249630,-3.6877450,Colón B,106b,Calle Serrano nº 34,1,0,18,3,15,0
